State,Name,Address,Price,Bed_Info,Phone,low_price,high_price
Alabama,"4 Parkwood Villas Ct, Lehigh Acres, FL 33936","4 Parkwood Villas Ct, Lehigh Acres, FL 33936",1600,"2 Beds, 2 Baths, 956 sq ft",2395392216.0,1600,1600
Alabama,"3306 8th St W, Lehigh Acres, FL 33971","3306 8th St W, Lehigh Acres, FL 33971",1925,"3 Beds, 2 Baths, 1,700 sq ft",3014337511.0,1925,1925
Alabama,"2917 48th St SW, Lehigh Acres, FL 33976","2917 48th St SW, Lehigh Acres, FL 33976",2500,"4 Beds, 3 Baths, 2,300 sq ft",2057048236.0,2500,2500
Alabama,"3014 30th St SW, Lehigh Acres, FL 33976","3014 30th St SW, Lehigh Acres, FL 33976",1800,"3 Beds, 2 Baths, 1,495 sq ft",9412025166.0,1800,1800
Alabama,"2812 4th St SW, Lehigh Acres, FL 33976","2812 4th St SW, Lehigh Acres, FL 33976",2245,"3 Beds, 2 Baths, 1,751 sq ft",2393601725.0,2245,2245
Alabama,"2705 40th St SW, Lehigh Acres, FL 33976","2705 40th St SW, Lehigh Acres, FL 33976",2049,"4 Beds, 2 Baths, 1,843 sq ft",2394206266.0,2049,2049
Alabama,"2507 50th St SW, Lehigh Acres, FL 33976","2507 50th St SW, Lehigh Acres, FL 33976",2949,"4 Beds, 2 Baths, 1,843 sq ft",2393452983.0,2949,2949
Alabama,"3005 21st St SW, Lehigh Acres, FL 33976","3005 21st St SW, Lehigh Acres, FL 33976",2050,"3 Beds, 2 Baths, 1,537 sq ft",,2050,2050
Alabama,"9160 Aegean Cir, Lehigh Acres, FL 33936","9160 Aegean Cir, Lehigh Acres, FL 33936",1649,"3 Beds, 2 Baths, 1,403 sq ft",2393995546.0,1649,1649
Alabama,"187 Patio St, Lehigh Acres, FL 33974","187 Patio St, Lehigh Acres, FL 33974",2040,"3 Beds, 2 Baths, 1,258 sq ft",2395101166.0,2040,2040
Alabama,"2808 39th St SW, Lehigh Acres, FL 33976","2808 39th St SW, Lehigh Acres, FL 33976",850,"4 Beds, 2.5 Baths, 2,313 sq ft",5618677656.0,850,850
Alabama,"2906 44th St SW, Lehigh Acres, FL 33976","2906 44th St SW, Lehigh Acres, FL 33976",1590,"4 Beds, 2 Baths, 1,600 sq ft",2392997830.0,1590,1590
Alabama,"336 Pinehurst Ave, Lehigh Acres, FL 33974","336 Pinehurst Ave, Lehigh Acres, FL 33974",2090,"3 Beds, 2 Baths, 1,666 sq ft",2394266257.0,2090,2090
Alabama,"2919 5th St SW, Lehigh Acres, FL 33976","2919 5th St SW, Lehigh Acres, FL 33976",2125,"4 Beds, 2 Baths, 1,833 sq ft",2396674897.0,2125,2125
Alabama,"2607 30th St SW, Lehigh Acres, FL 33976","2607 30th St SW, Lehigh Acres, FL 33976",2020,"3 Beds, 2 Baths, 1,100 sq ft",2397880170.0,2020,2020
Alabama,"2802 50th St SW, Lehigh Acres, FL 33976","2802 50th St SW, Lehigh Acres, FL 33976",1545,"4 Beds, 2 Baths, 1,333 sq ft",2392668882.0,1545,1545
Alabama,"107 Plainview St, Lehigh Acres, FL 33974","107 Plainview St, Lehigh Acres, FL 33974",1700,"3 Beds, 2 Baths, 1,574 sq ft",2392516762.0,1700,1700
Alabama,"10720 Figtree Ct, Lehigh Acres, FL 33936","10720 Figtree Ct, Lehigh Acres, FL 33936",1445,"3 Beds, 2 Baths, 1,176 sq ft",2392375824.0,1445,1445
Alabama,"20910 Copperhead Dr Unit 436, Lehigh Acres, FL 33936","20910 Copperhead Dr Unit 436, Lehigh Acres, FL 33936",3495,"2 Beds, 2 Baths, 1,154 sq ft",2393474073.0,3495,3495
Alabama,"20910 Copperhead Dr Unit 431, Lehigh Acres, FL 33936","20910 Copperhead Dr Unit 431, Lehigh Acres, FL 33936",3495,"2 Beds, 2 Baths, 1,301 sq ft",2399336096.0,3495,3495
Alabama,"9099 Leatherwood Loop, Lehigh Acres, FL 33936","9099 Leatherwood Loop, Lehigh Acres, FL 33936",2400,"2 Beds, 2 Baths, 1,564 sq ft",2394452808.0,2400,2400
Alabama,"2501 56th St SW, Lehigh Acres, FL 33976","2501 56th St SW, Lehigh Acres, FL 33976",2400,"3 Beds, 2 Baths, 1,700 sq ft",2393070865.0,2400,2400
