State,Name,Address,Price,Bed_Info,Phone
Alabama,"4 Parkwood Villas Ct, Lehigh Acres, FL 33936","4 Parkwood Villas Ct, Lehigh Acres, FL 33936","$1,600","2 Beds, 2 Baths, 956 sq ft",2395392216
Alabama,"3306 8th St W, Lehigh Acres, FL 33971","3306 8th St W, Lehigh Acres, FL 33971","$1,925","3 Beds, 2 Baths, 1,700 sq ft",3014337511
Alabama,"2917 48th St SW, Lehigh Acres, FL 33976","2917 48th St SW, Lehigh Acres, FL 33976","$2,500","4 Beds, 3 Baths, 2,300 sq ft",2057048236
Alabama,"3014 30th St SW, Lehigh Acres, FL 33976","3014 30th St SW, Lehigh Acres, FL 33976","$1,800","3 Beds, 2 Baths, 1,495 sq ft",9412025166
Alabama,"2812 4th St SW, Lehigh Acres, FL 33976","2812 4th St SW, Lehigh Acres, FL 33976","$2,245","3 Beds, 2 Baths, 1,751 sq ft",2393601725
Alabama,"2705 40th St SW, Lehigh Acres, FL 33976","2705 40th St SW, Lehigh Acres, FL 33976","$2,049","4 Beds, 2 Baths, 1,843 sq ft",2394206266
Alabama,"2507 50th St SW, Lehigh Acres, FL 33976","2507 50th St SW, Lehigh Acres, FL 33976","$2,949","4 Beds, 2 Baths, 1,843 sq ft",2393452983
Alabama,"3005 21st St SW, Lehigh Acres, FL 33976","3005 21st St SW, Lehigh Acres, FL 33976","$2,050","3 Beds, 2 Baths, 1,537 sq ft",
Alabama,"9160 Aegean Cir, Lehigh Acres, FL 33936","9160 Aegean Cir, Lehigh Acres, FL 33936","$1,649","3 Beds, 2 Baths, 1,403 sq ft",2393995546
Alabama,"187 Patio St, Lehigh Acres, FL 33974","187 Patio St, Lehigh Acres, FL 33974","$2,040","3 Beds, 2 Baths, 1,258 sq ft",2395101166
Alabama,"2808 39th St SW, Lehigh Acres, FL 33976","2808 39th St SW, Lehigh Acres, FL 33976",$850,"4 Beds, 2.5 Baths, 2,313 sq ft",5618677656
Alabama,"2906 44th St SW, Lehigh Acres, FL 33976","2906 44th St SW, Lehigh Acres, FL 33976","$1,590","4 Beds, 2 Baths, 1,600 sq ft",2392997830
Alabama,"336 Pinehurst Ave, Lehigh Acres, FL 33974","336 Pinehurst Ave, Lehigh Acres, FL 33974","$2,090","3 Beds, 2 Baths, 1,666 sq ft",2394266257
Alabama,"2919 5th St SW, Lehigh Acres, FL 33976","2919 5th St SW, Lehigh Acres, FL 33976","$2,125","4 Beds, 2 Baths, 1,833 sq ft",2396674897
Alabama,"2607 30th St SW, Lehigh Acres, FL 33976","2607 30th St SW, Lehigh Acres, FL 33976","$2,020","3 Beds, 2 Baths, 1,100 sq ft",2397880170
Alabama,"2802 50th St SW, Lehigh Acres, FL 33976","2802 50th St SW, Lehigh Acres, FL 33976","$1,545","4 Beds, 2 Baths, 1,333 sq ft",2392668882
Alabama,"107 Plainview St, Lehigh Acres, FL 33974","107 Plainview St, Lehigh Acres, FL 33974","$1,700","3 Beds, 2 Baths, 1,574 sq ft",2392516762
Alabama,"10720 Figtree Ct, Lehigh Acres, FL 33936","10720 Figtree Ct, Lehigh Acres, FL 33936","$1,445","3 Beds, 2 Baths, 1,176 sq ft",2392375824
Alabama,"20910 Copperhead Dr Unit 436, Lehigh Acres, FL 33936","20910 Copperhead Dr Unit 436, Lehigh Acres, FL 33936","$3,495","2 Beds, 2 Baths, 1,154 sq ft",2393474073
Alabama,"20910 Copperhead Dr Unit 431, Lehigh Acres, FL 33936","20910 Copperhead Dr Unit 431, Lehigh Acres, FL 33936","$3,495","2 Beds, 2 Baths, 1,301 sq ft",2399336096
Alabama,"9099 Leatherwood Loop, Lehigh Acres, FL 33936","9099 Leatherwood Loop, Lehigh Acres, FL 33936","$2,400","2 Beds, 2 Baths, 1,564 sq ft",2394452808
Alabama,"2501 56th St SW, Lehigh Acres, FL 33976","2501 56th St SW, Lehigh Acres, FL 33976","$2,400","3 Beds, 2 Baths, 1,700 sq ft",2393070865
Alabama,"149 Partridge St, Lehigh Acres, FL 33974","149 Partridge St, Lehigh Acres, FL 33974","$1,895","3 Beds, 2 Baths, 1,943 sq ft",2399902892
Alabama,"2302 Loraine Ave S, Lehigh Acres, FL 33976","2302 Loraine Ave S, Lehigh Acres, FL 33976","$1,645","3 Beds, 2 Baths, 1,097 sq ft",2397668847
Alabama,"2916 22nd St SW, Lehigh Acres, FL 33976","2916 22nd St SW, Lehigh Acres, FL 33976","$1,560","3 Beds, 2 Baths, 1,138 sq ft",2397852321
